,date,code,open,close,volume
245,2018-01-03,sh.601398,6.1800,6.1600,349361120
246,2018-01-04,sh.601398,6.1800,6.0700,435136528
247,2018-01-05,sh.601398,6.0900,6.0800,281784272
248,2018-01-08,sh.601398,6.0900,6.0700,218487604
249,2018-01-09,sh.601398,6.0700,6.0900,167185706
250,2018-01-10,sh.601398,6.0800,6.1600,248738958
251,2018-01-11,sh.601398,6.1800,6.2100,197047306
252,2018-01-12,sh.601398,6.2000,6.2500,218851799
253,2018-01-15,sh.601398,6.2400,6.4300,530209504
254,2018-01-16,sh.601398,6.4300,6.5900,382065312
255,2018-01-17,sh.601398,6.6400,6.7200,588536576
256,2018-01-18,sh.601398,6.7500,7.1300,586990944
257,2018-01-19,sh.601398,7.1400,7.1200,436655040
258,2018-01-22,sh.601398,7.0400,7.1700,469122144
259,2018-01-23,sh.601398,7.1500,7.4900,603055104
260,2018-01-24,sh.601398,7.4900,7.4000,500350784
261,2018-01-25,sh.601398,7.3300,7.3500,387539360
262,2018-01-26,sh.601398,7.2900,7.3700,422149824
263,2018-01-29,sh.601398,7.3700,7.4300,369534176
264,2018-01-30,sh.601398,7.4000,7.2800,246540367
265,2018-01-31,sh.601398,7.2800,7.4800,376775936
266,2018-02-01,sh.601398,7.4400,7.6800,456814016
267,2018-02-02,sh.601398,7.6000,7.6000,332259952
268,2018-02-05,sh.601398,7.4800,7.7500,408018976
269,2018-02-06,sh.601398,7.5900,7.5700,679577168
270,2018-02-07,sh.601398,7.5700,7.1300,636981744
271,2018-02-08,sh.601398,7.0500,6.8200,540920384
272,2018-02-09,sh.601398,6.5800,6.6800,604381152
273,2018-02-12,sh.601398,6.6400,6.6100,354442240
274,2018-02-13,sh.601398,6.6600,6.8000,423909456
275,2018-02-14,sh.601398,6.7900,6.8800,180573419
276,2018-02-22,sh.601398,7.0300,7.0000,254663105
277,2018-02-23,sh.601398,7.0300,7.0100,189504305
278,2018-02-26,sh.601398,7.0600,7.0200,280449648
279,2018-02-27,sh.601398,7.0000,6.7900,343745392
280,2018-02-28,sh.601398,6.7100,6.6700,241387193
281,2018-03-01,sh.601398,6.6300,6.6900,190484606
282,2018-03-02,sh.601398,6.6100,6.6800,163677350
283,2018-03-05,sh.601398,6.6700,6.6200,205288778
284,2018-03-06,sh.601398,6.6500,6.5500,438606704
285,2018-03-07,sh.601398,6.5900,6.6300,393342640
286,2018-03-08,sh.601398,6.6500,6.5500,230681757
287,2018-03-09,sh.601398,6.5800,6.5500,184256134
288,2018-03-12,sh.601398,6.6000,6.4800,441545632
289,2018-03-13,sh.601398,6.4900,6.5000,293714912
290,2018-03-14,sh.601398,6.4600,6.4400,193481484
291,2018-03-15,sh.601398,6.4100,6.4600,151961987
292,2018-03-16,sh.601398,6.4600,6.3600,164228337
293,2018-03-19,sh.601398,6.3400,6.4000,150419962
294,2018-03-20,sh.601398,6.3500,6.5300,251477273
295,2018-03-21,sh.601398,6.5500,6.4900,233360795
296,2018-03-22,sh.601398,6.4900,6.4700,196105509
297,2018-03-23,sh.601398,6.3400,6.3000,354471296
298,2018-03-26,sh.601398,6.2300,6.0200,400732848
299,2018-03-27,sh.601398,6.0900,5.9800,370126496
300,2018-03-28,sh.601398,5.9200,5.9800,376239184
301,2018-03-29,sh.601398,6.0000,6.0900,470474064
302,2018-03-30,sh.601398,6.1000,6.0900,236558957
303,2018-04-02,sh.601398,6.0800,5.9600,300590848
304,2018-04-03,sh.601398,5.9000,5.8800,234076753
305,2018-04-04,sh.601398,5.9000,5.8700,194517020
306,2018-04-09,sh.601398,5.8800,5.8600,158489870
307,2018-04-10,sh.601398,5.8600,6.1200,327488896
308,2018-04-11,sh.601398,6.1200,6.2400,338600352
309,2018-04-12,sh.601398,6.2200,6.0800,207472666
310,2018-04-13,sh.601398,6.1300,6.0300,171656102
311,2018-04-16,sh.601398,6.0000,5.8200,392606000
312,2018-04-17,sh.601398,5.8200,5.7900,197605937
313,2018-04-18,sh.601398,5.8700,5.8800,313149168
314,2018-04-19,sh.601398,5.8800,5.9200,214368492
315,2018-04-20,sh.601398,5.9000,5.9200,191946347
316,2018-04-23,sh.601398,5.8700,6.0200,237981113
317,2018-04-24,sh.601398,6.0400,6.0800,534301744
318,2018-04-25,sh.601398,6.0300,5.9900,208518195
319,2018-04-26,sh.601398,5.9900,5.9500,205401705
320,2018-04-27,sh.601398,5.9500,6.0000,219741616
321,2018-05-02,sh.601398,6.0600,5.9800,171828553
322,2018-05-03,sh.601398,5.9800,5.9500,149765571
323,2018-05-04,sh.601398,5.9300,5.9100,131596952
324,2018-05-07,sh.601398,5.9100,5.9500,191685190
325,2018-05-08,sh.601398,5.9500,5.9800,322841984
326,2018-05-09,sh.601398,5.9900,5.9900,146117186
327,2018-05-10,sh.601398,6.0100,6.0000,152542817
328,2018-05-11,sh.601398,6.0100,6.0700,278778992
329,2018-05-14,sh.601398,6.0900,6.0700,249877029
330,2018-05-15,sh.601398,6.0800,6.0900,204386692
331,2018-05-16,sh.601398,6.0700,6.0000,160206385
332,2018-05-17,sh.601398,6.0100,5.9700,140092333
333,2018-05-18,sh.601398,5.9500,6.0500,144238735
334,2018-05-21,sh.601398,6.0800,6.0300,213408051
335,2018-05-22,sh.601398,6.0100,5.9700,185143586
336,2018-05-23,sh.601398,5.9500,5.8500,253164113
337,2018-05-24,sh.601398,5.8600,5.7700,237514453
338,2018-05-25,sh.601398,5.7600,5.7800,179828777
339,2018-05-28,sh.601398,5.7600,5.7600,137607925
340,2018-05-29,sh.601398,5.7500,5.7400,301485088
341,2018-05-30,sh.601398,5.6500,5.6300,146140094
342,2018-05-31,sh.601398,5.6600,5.6600,189198338
343,2018-06-01,sh.601398,5.6400,5.6400,175036189
344,2018-06-04,sh.601398,5.6600,5.7000,204134085
345,2018-06-05,sh.601398,5.7100,5.7000,146872294
346,2018-06-06,sh.601398,5.6900,5.6500,128001688
347,2018-06-07,sh.601398,5.6700,5.6900,163473541
348,2018-06-08,sh.601398,5.6700,5.5800,201945561
349,2018-06-11,sh.601398,5.5700,5.5800,122875173
350,2018-06-12,sh.601398,5.5800,5.6000,116679996
351,2018-06-13,sh.601398,5.5800,5.5800,136399827
352,2018-06-14,sh.601398,5.5400,5.6200,140344973
353,2018-06-15,sh.601398,5.6100,5.7000,279378400
354,2018-06-19,sh.601398,5.6600,5.7400,473659904
355,2018-06-20,sh.601398,5.7000,5.6900,136534786
356,2018-06-21,sh.601398,5.6900,5.6800,139483671
357,2018-06-22,sh.601398,5.6500,5.6700,124900386
358,2018-06-25,sh.601398,5.6900,5.5400,171688498
359,2018-06-26,sh.601398,5.5100,5.4200,201327306
360,2018-06-27,sh.601398,5.4000,5.3100,193648758
361,2018-06-28,sh.601398,5.2800,5.2000,158760044
362,2018-06-29,sh.601398,5.2200,5.3200,130348533
363,2018-07-02,sh.601398,5.3000,5.0800,181553080
364,2018-07-03,sh.601398,5.0900,5.1400,221033975
365,2018-07-04,sh.601398,5.1300,5.1600,123614502
366,2018-07-05,sh.601398,5.1700,5.2300,186518348
367,2018-07-06,sh.601398,5.2300,5.2900,192544372
368,2018-07-09,sh.601398,5.3100,5.5300,215545827
369,2018-07-10,sh.601398,5.5600,5.5200,128990044
370,2018-07-11,sh.601398,5.4100,5.4800,152044861
371,2018-07-12,sh.601398,5.4700,5.6600,213462270
372,2018-07-13,sh.601398,5.4500,5.3600,145876976
373,2018-07-16,sh.601398,5.3300,5.2300,173692520
374,2018-07-17,sh.601398,5.2300,5.2300,101846779
375,2018-07-18,sh.601398,5.2400,5.2300,96369558
376,2018-07-19,sh.601398,5.2400,5.1700,108648158
377,2018-07-20,sh.601398,5.1600,5.4700,358529440
378,2018-07-23,sh.601398,5.4800,5.6000,392449040
379,2018-07-24,sh.601398,5.6200,5.6100,263334277
380,2018-07-25,sh.601398,5.6100,5.6200,190441457
381,2018-07-26,sh.601398,5.6200,5.5500,199714253
382,2018-07-27,sh.601398,5.5300,5.5400,114240770
383,2018-07-30,sh.601398,5.5300,5.5900,171175464
384,2018-07-31,sh.601398,5.5900,5.6500,131160880
385,2018-08-01,sh.601398,5.6500,5.5500,164804118
386,2018-08-02,sh.601398,5.5200,5.4400,149822851
387,2018-08-03,sh.601398,5.4400,5.4800,161700194
388,2018-08-06,sh.601398,5.5100,5.5100,137702265
389,2018-08-07,sh.601398,5.5100,5.6000,220754791
390,2018-08-08,sh.601398,5.5600,5.5100,121314370
391,2018-08-09,sh.601398,5.4700,5.5700,151700625
392,2018-08-10,sh.601398,5.5500,5.5000,155905995
393,2018-08-13,sh.601398,5.4700,5.4000,219026056
394,2018-08-14,sh.601398,5.3700,5.3800,152036320
395,2018-08-15,sh.601398,5.3600,5.2900,156096593
396,2018-08-16,sh.601398,5.2200,5.2700,197386455
397,2018-08-17,sh.601398,5.3000,5.2600,140129678
398,2018-08-20,sh.601398,5.2900,5.3600,152069938
399,2018-08-21,sh.601398,5.3800,5.4000,148770275
400,2018-08-22,sh.601398,5.4000,5.3900,77600967
401,2018-08-23,sh.601398,5.3800,5.4000,91150013
402,2018-08-24,sh.601398,5.3900,5.4900,171198311
403,2018-08-27,sh.601398,5.4900,5.5300,197721635
404,2018-08-28,sh.601398,5.5300,5.5100,120777318
405,2018-08-29,sh.601398,5.5000,5.4900,70994778
406,2018-08-30,sh.601398,5.4800,5.4000,119103058
407,2018-08-31,sh.601398,5.3600,5.4400,215453508
408,2018-09-03,sh.601398,5.4200,5.4300,108998662
409,2018-09-04,sh.601398,5.4300,5.4400,127952361
410,2018-09-05,sh.601398,5.4100,5.3500,117641602
411,2018-09-06,sh.601398,5.3300,5.3300,85973960
412,2018-09-07,sh.601398,5.3400,5.3500,86233317
413,2018-09-10,sh.601398,5.3400,5.3400,106481553
414,2018-09-11,sh.601398,5.3400,5.3400,93102546
415,2018-09-12,sh.601398,5.3100,5.2900,100867736
416,2018-09-13,sh.601398,5.3400,5.3700,114816479
417,2018-09-14,sh.601398,5.3900,5.3700,68113005
